student_id,gender,age,class_level,attendance_rate,math_score,english_score,science_score,study_hours,parental_support,food_security,at_risk
STUD00001,Male,13,SS2,91.5,50.2,45.2,90.1,22,Yes,No,No
STUD00002,Female,17,JSS3,79.4,68.7,55.5,51.0,11,Yes,Yes,No
STUD00003,Male,10,JSS3,72.8,65.0,49.3,36.8,14,Yes,Yes,No
STUD00004,Female,18,JSS3,90.0,73.3,57.9,57.6,24,No,Yes,No
STUD00005,Male,19,SS2,76.0,47.5,75.3,81.7,7,Yes,No,No
STUD00006,Female,11,SS1,87.5,28.6,43.4,61.0,17,No,No,Yes
STUD00007,Female,13,SS3,74.1,79.0,73.0,97.8,7,No,Yes,No
STUD00008,Male,14,JSS2,86.2,66.7,48.7,42.3,12,Yes,No,No
STUD00009,Female,10,SS1,92.6,45.5,68.7,77.6,9,Yes,Yes,No
STUD00010,Male,18,SS1,79.2,57.0,46.5,40.1,2,Yes,Yes,No
STUD00011,Male,10,JSS3,89.3,49.7,67.1,81.1,13,Yes,Yes,No
STUD00012,Male,19,JSS2,68.4,55.5,61.2,72.4,3,No,Yes,No
STUD00013,Male,20,SS2,75.3,52.0,74.8,62.9,11,Yes,No,No
STUD00014,Male,19,SS1,93.7,55.9,73.9,38.3,24,No,No,No
STUD00015,Male,15,JSS3,68.0,53.3,57.2,46.0,14,Yes,Yes,No
STUD00016,Female,18,SS1,88.1,58.8,35.1,57.6,16,No,Yes,No
STUD00017,Female,11,SS1,82.7,64.8,61.5,40.5,5,Yes,Yes,No
STUD00018,Male,17,JSS3,93.7,50.1,67.0,57.7,21,Yes,Yes,No
STUD00019,Male,18,SS1,100.0,61.3,56.2,70.9,3,Yes,Yes,No
STUD00020,Male,13,SS1,83.3,69.9,79.5,59.0,10,Yes,Yes,No
STUD00021,Male,19,JSS3,77.5,51.6,62.2,63.7,16,Yes,Yes,No
STUD00022,Female,14,SS2,83.2,62.9,75.5,42.0,15,No,No,No
STUD00023,Female,10,SS1,87.7,73.6,64.4,39.7,21,Yes,No,No
STUD00024,Female,10,SS1,76.0,41.9,72.8,77.0,6,No,Yes,No
STUD00025,Female,20,JSS3,69.2,71.5,66.4,58.9,18,No,Yes,No
STUD00026,Female,14,SS3,100.0,78.8,56.8,65.6,15,Yes,Yes,No
STUD00027,Male,10,SS1,82.3,71.4,68.6,56.9,2,No,Yes,No
STUD00028,Male,14,JSS1,73.9,51.8,71.9,59.4,2,Yes,Yes,No
STUD00029,Female,15,JSS2,74.7,43.6,74.4,51.3,8,No,Yes,No
STUD00030,Male,19,JSS2,88.7,64.1,62.3,71.1,24,Yes,Yes,No
STUD00031,Female,12,SS1,66.3,92.0,45.2,76.0,21,Yes,Yes,No
STUD00032,Female,19,SS3,89.3,29.9,75.5,50.3,11,No,Yes,No
STUD00033,Female,13,SS3,100.0,70.1,33.6,60.8,16,Yes,Yes,No
STUD00034,Female,16,JSS2,91.1,73.9,45.2,53.0,0,Yes,Yes,No
STUD00035,Female,18,SS2,89.5,86.4,43.4,85.7,11,Yes,Yes,No
STUD00036,Female,18,SS2,82.2,90.0,61.7,44.0,6,Yes,Yes,No
STUD00037,Male,16,JSS2,100.0,81.2,60.2,51.0,18,Yes,No,No
STUD00038,Male,13,JSS2,85.8,53.8,63.6,67.9,17,Yes,Yes,No
STUD00039,Male,12,JSS3,83.2,69.4,65.9,48.7,16,No,Yes,No
STUD00040,Female,19,SS3,77.9,73.6,67.0,47.6,12,No,Yes,No
STUD00041,Male,14,SS2,75.1,51.0,72.5,67.2,16,No,Yes,No
STUD00042,Male,16,SS3,66.6,65.8,78.0,70.9,2,Yes,No,No
STUD00043,Female,13,JSS1,93.2,55.0,66.5,56.0,19,Yes,Yes,No
