student_id,gender,age,class_level,attendance_rate,math_score,english_score,science_score,prev_math_score,prev_english_score,prev_science_score,study_hours,parental_support,food_security,at_risk
STUD00001,Male,13,SS2,91.5,42.8,89.5,38.5,48.8,90.0,42.9,2,Yes,No,No
STUD00002,Female,15,JSS2,80.1,48.7,53.8,29.8,51.0,63.4,32.6,9,Yes,No,Yes
STUD00003,Male,12,SS1,100.0,64.5,49.8,68.8,63.9,52.8,67.3,14,No,Yes,No
STUD00004,Female,12,SS3,77.4,38.1,61.4,52.2,40.1,53.7,59.2,17,No,No,No
STUD00005,Female,13,SS3,74.1,79.8,98.5,78.6,75.8,97.2,76.3,12,Yes,Yes,No
STUD00006,Male,18,JSS1,86.0,50.9,79.1,42.5,47.8,74.4,44.1,6,No,Yes,No
STUD00007,Male,16,SS3,99.2,48.7,59.0,58.9,44.5,64.2,54.0,22,No,Yes,No
STUD00008,Male,19,JSS2,94.5,35.9,64.0,81.2,37.3,59.2,78.3,4,Yes,Yes,No
STUD00009,Male,13,SS2,82.5,54.1,77.5,65.9,51.6,76.2,59.1,24,Yes,Yes,No
STUD00010,Male,20,SS3,87.1,42.4,56.4,45.3,44.9,41.7,40.7,23,No,Yes,No
STUD00011,Female,17,JSS1,77.0,51.6,53.9,65.9,55.8,48.5,68.1,0,Yes,Yes,No
STUD00012,Male,19,SS3,84.0,63.8,53.0,51.5,69.5,49.1,44.6,19,No,Yes,No
STUD00013,Male,10,JSS1,73.1,50.0,45.2,50.6,49.5,53.0,55.9,0,Yes,Yes,No
STUD00014,Female,10,JSS3,90.7,44.6,65.2,64.5,46.3,71.4,58.0,16,Yes,Yes,No
STUD00015,Female,14,SS2,83.2,65.5,45.6,61.0,60.7,45.1,56.4,19,Yes,Yes,No
STUD00016,Female,17,SS1,82.3,36.1,40.7,13.6,30.3,46.2,17.6,8,Yes,Yes,Yes
STUD00017,Female,14,SS1,100.0,42.2,78.6,88.2,47.0,75.5,94.8,5,No,Yes,No
STUD00018,Female,20,JSS3,93.6,65.5,69.9,58.8,58.2,56.3,63.1,18,Yes,Yes,No
STUD00019,Female,10,SS1,82.3,71.1,54.7,33.1,68.7,59.0,35.3,17,Yes,No,No
STUD00020,Female,12,SS3,95.3,57.4,75.1,71.7,61.5,74.8,66.3,10,No,Yes,No
STUD00021,Female,16,JSS2,88.7,62.0,79.4,61.7,61.9,72.2,55.1,15,Yes,No,No
STUD00022,Male,11,JSS2,96.9,83.0,44.9,52.6,86.3,47.2,49.6,9,No,Yes,No
STUD00023,Female,14,JSS1,78.5,69.4,65.3,69.0,69.7,67.3,60.7,7,No,No,No
STUD00024,Female,19,SS3,76.1,54.0,80.1,42.6,56.4,82.3,45.5,22,Yes,Yes,No
STUD00025,Male,19,JSS2,79.3,57.0,59.4,77.5,48.2,65.7,66.9,22,Yes,Yes,No
STUD00026,Male,14,SS3,97.4,68.5,46.7,7.7,64.7,47.0,12.9,0,Yes,Yes,Yes
STUD00027,Female,19,SS3,79.7,67.2,45.7,50.2,60.0,39.9,55.1,23,No,No,No
STUD00028,Female,20,SS1,90.5,35.9,61.9,64.3,29.5,51.4,63.9,2,No,Yes,No
STUD00029,Male,11,SS2,88.4,47.6,50.2,67.8,48.7,53.1,66.0,12,No,Yes,No
STUD00030,Male,14,SS2,76.7,42.8,73.5,55.3,45.6,70.5,54.7,17,Yes,Yes,No
STUD00031,Male,14,SS1,100.0,49.4,63.7,64.5,51.4,63.7,67.1,18,Yes,Yes,No
STUD00032,Male,12,SS1,96.4,63.3,67.3,43.8,63.9,57.2,43.9,4,Yes,Yes,No
STUD00033,Male,14,SS1,100.0,64.5,59.9,67.9,64.1,61.2,70.4,1,Yes,Yes,No
STUD00034,Male,17,SS2,68.7,72.9,57.5,36.4,75.3,50.7,28.5,18,Yes,Yes,No
STUD00035,Male,11,SS1,100.0,68.3,71.7,67.0,65.1,67.5,69.7,16,Yes,Yes,No
STUD00036,Male,15,JSS2,68.0,61.4,57.5,57.8,61.4,61.4,55.3,8,Yes,Yes,No
STUD00037,Male,14,SS3,95.5,71.7,44.5,36.6,60.8,48.7,47.2,17,Yes,Yes,No
STUD00038,Female,20,SS3,78.7,76.5,48.9,68.2,83.9,51.0,76.9,24,Yes,No,No
STUD00039,Female,20,SS2,81.3,39.9,78.3,75.0,40.5,81.4,73.7,0,Yes,Yes,No
STUD00040,Male,14,SS3,99.8,72.7,65.4,78.8,63.1,64.5,75.7,9,No,Yes,No
STUD00041,Female,18,SS3,74.8,45.6,39.0,48.9,44.0,56.4,51.5,0,Yes,Yes,Yes
STUD00042,Female,20,JSS1,95.7,62.2,77.6,72.6,49.6,79.6,69.9,6,Yes,Yes,No
STUD00043,Female,11,JSS2,94.9,90.0,43.5,79.2,88.8,53.6,80.5,9,No,No,No
STUD00044,Female,19,JSS1,91.4,32.2,65.2,27.7,32.4,65.4,28.1,10,Yes,Yes,Yes
STUD00045,Male,18,JSS3,89.4,41.3,44.9,62.5,43.9,45.2,67.4,18,Yes,Yes,No
STUD00046,Female,19,SS2,91.0,56.3,32.5,33.4,58.8,30.0,39.2,24,Yes,Yes,Yes
STUD00047,Female,20,SS2,87.2,46.5,64.2,56.7,46.4,64.4,55.7,1,No,Yes,No
STUD00048,Female,12,JSS3,100.0,63.3,46.8,62.5,58.4,46.4,74.8,14,Yes,Yes,No
STUD00049,Female,19,JSS1,66.3,59.4,37.2,50.9,61.1,30.5,38.0,21,Yes,Yes,No
STUD00050,Male,12,JSS2,77.5,38.0,82.5,39.6,44.9,73.0,36.8,21,Yes,Yes,No
STUD00051,Female,13,SS3,77.9,45.3,49.7,53.2,45.0,48.4,54.3,10,No,Yes,No
STUD00052,Male,17,SS3,74.1,67.0,96.7,63.3,65.9,88.6,67.1,5,No,Yes,No
STUD00053,Female,10,SS1,79.5,45.8,65.5,72.4,53.4,71.2,58.5,0,Yes,Yes,No
STUD00054,Male,16,JSS2,65.7,52.8,79.3,57.8,49.0,75.5,45.6,22,No,Yes,No
STUD00055,Male,11,SS3,78.9,40.3,67.6,66.6,39.4,64.9,64.1,4,No,Yes,No
STUD00056,Female,13,JSS1,90.7,58.7,63.0,35.1,53.9,56.5,46.2,5,Yes,Yes,No
STUD00057,Male,18,JSS1,82.1,74.8,56.9,59.6,70.3,61.3,58.7,7,No,Yes,No
STUD00058,Male,10,SS1,91.8,73.1,77.2,48.3,65.2,73.6,50.4,1,No,No,No
STUD00059,Male,15,SS3,58.1,79.4,62.8,44.5,68.1,46.9,57.4,12,No,Yes,Yes
STUD00060,Male,13,SS1,80.4,76.6,40.1,30.1,68.8,43.5,33.2,10,Yes,Yes,No
STUD00061,Female,11,JSS1,95.4,39.6,59.9,68.8,44.0,62.9,71.9,3,Yes,No,No
STUD00062,Male,15,JSS3,79.1,40.3,55.7,33.6,32.6,57.8,41.8,24,No,No,Yes
STUD00063,Male,11,JSS3,81.0,81.7,37.7,38.0,83.0,39.0,51.5,23,Yes,Yes,No
STUD00064,Male,15,JSS2,84.3,48.4,96.3,55.1,54.0,96.0,55.2,23,No,Yes,No
STUD00065,Male,10,SS2,98.0,43.8,71.0,71.0,52.1,69.8,78.6,5,No,Yes,No
STUD00066,Female,16,JSS3,100.0,33.0,53.2,73.5,36.9,44.5,67.2,0,Yes,Yes,No
STUD00067,Male,20,SS2,64.5,78.0,71.0,67.0,73.2,62.4,60.7,15,Yes,Yes,No
STUD00068,Male,16,JSS2,90.0,56.6,72.0,53.4,62.9,72.9,48.2,9,No,Yes,No
STUD00069,Male,13,SS2,99.2,52.7,53.2,59.8,47.9,54.9,58.3,22,No,Yes,No
STUD00070,Male,10,SS3,85.5,76.3,38.6,51.3,71.0,41.0,42.0,12,No,Yes,No
STUD00071,Female,11,SS2,84.9,77.6,59.5,50.2,78.4,50.5,54.7,7,Yes,Yes,No
STUD00072,Male,16,JSS2,74.1,59.7,53.5,51.5,55.6,65.4,50.5,3,No,Yes,No
STUD00073,Male,17,JSS3,100.0,47.6,45.9,51.5,44.7,35.4,51.0,0,Yes,Yes,No
STUD00074,Male,12,SS1,87.1,54.6,41.3,51.6,57.9,36.3,50.4,8,Yes,Yes,No
STUD00075,Male,20,JSS2,75.4,55.3,54.1,63.8,56.9,50.8,68.1,15,No,Yes,No
STUD00076,Male,10,SS2,85.5,72.8,50.7,61.6,70.5,59.0,60.6,22,Yes,Yes,No
STUD00077,Male,14,JSS1,82.7,62.5,61.8,26.5,55.7,55.0,19.7,23,Yes,Yes,No
STUD00078,Female,12,SS2,100.0,26.6,70.7,64.2,20.1,80.2,57.3,21,Yes,Yes,No
STUD00079,Female,19,SS1,86.0,71.4,91.2,48.1,74.0,79.7,50.3,6,Yes,Yes,No
STUD00080,Male,12,SS2,100.0,33.2,42.1,55.7,37.8,45.9,54.5,16,Yes,Yes,Yes
STUD00081,Male,19,SS2,96.8,54.5,63.8,60.8,54.8,69.4,60.0,20,No,Yes,No
STUD00082,Male,11,JSS1,90.9,45.9,57.0,70.6,48.7,51.1,73.5,16,Yes,Yes,No
STUD00083,Female,17,SS2,100.0,67.9,60.5,65.3,72.1,62.3,62.6,4,No,Yes,No
STUD00084,Female,15,JSS3,98.0,66.5,53.9,60.7,57.5,52.8,54.8,18,No,Yes,No
STUD00085,Female,17,JSS3,89.9,73.1,57.7,46.5,67.6,60.9,48.8,12,No,Yes,No
STUD00086,Male,20,SS3,73.6,60.1,62.2,51.1,60.9,59.4,48.0,6,Yes,Yes,No
STUD00087,Female,16,JSS2,94.8,35.8,65.0,44.9,35.7,61.3,37.4,5,Yes,Yes,No
STUD00088,Male,11,SS1,87.6,68.1,54.7,63.8,67.1,53.7,69.0,21,No,Yes,No
STUD00089,Female,19,JSS3,78.0,92.2,81.0,50.6,86.7,84.2,52.8,18,Yes,Yes,No
STUD00090,Female,11,SS2,98.5,65.2,56.8,63.9,59.3,52.4,61.0,19,No,Yes,No
STUD00091,Male,17,SS1,90.2,59.9,76.1,44.5,61.6,81.7,39.8,2,Yes,Yes,No
STUD00092,Female,11,SS1,95.3,65.4,62.6,67.8,65.6,63.8,64.2,13,Yes,Yes,No
STUD00093,Male,14,SS1,100.0,82.3,35.0,42.3,80.5,37.9,49.0,1,No,Yes,No
STUD00094,Male,10,SS2,98.9,52.0,92.1,62.8,55.4,94.6,68.3,0,No,No,No
STUD00095,Male,15,JSS3,81.8,64.0,62.3,73.8,52.0,59.7,78.2,12,Yes,Yes,No
STUD00096,Female,15,JSS2,85.5,74.6,60.1,62.1,71.8,61.4,57.7,8,Yes,Yes,No
STUD00097,Female,17,JSS2,100.0,64.7,97.0,87.5,66.4,93.8,80.7,2,Yes,Yes,No
STUD00098,Female,20,JSS2,90.6,39.9,74.3,93.1,42.5,68.7,93.5,17,No,Yes,No
STUD00099,Female,18,JSS3,71.5,64.0,68.4,58.2,66.5,63.0,53.6,19,Yes,Yes,No
STUD00100,Female,13,SS1,95.5,44.6,67.4,30.9,34.6,58.5,33.8,18,Yes,Yes,No
STUD00101,Male,11,SS2,77.5,66.4,60.9,46.1,63.9,63.6,46.3,21,No,Yes,No
STUD00102,Female,16,JSS1,99.1,49.1,46.8,67.1,47.7,41.4,68.6,4,Yes,Yes,No
STUD00103,Female,13,SS2,75.8,45.8,71.0,25.2,46.6,73.9,29.6,4,Yes,Yes,No
STUD00104,Male,18,SS3,90.1,76.8,76.6,66.2,70.7,77.0,59.7,14,Yes,Yes,No
STUD00105,Female,11,SS3,85.6,47.0,44.6,57.9,47.7,45.5,60.8,9,Yes,Yes,No
STUD00106,Male,20,SS3,85.1,62.4,63.6,42.4,60.1,58.1,27.7,11,Yes,Yes,No
STUD00107,Female,13,JSS2,92.4,39.1,85.8,62.2,42.2,86.8,57.8,10,No,Yes,No
STUD00108,Male,19,JSS1,90.9,80.5,63.2,70.5,74.6,68.9,76.2,1,No,Yes,No
STUD00109,Male,10,JSS1,81.9,51.9,53.5,51.4,50.4,49.0,53.2,12,No,Yes,No
STUD00110,Female,16,JSS1,94.0,67.3,86.5,55.6,74.6,76.4,66.4,0,Yes,Yes,No
STUD00111,Female,15,JSS2,70.7,69.0,85.5,47.3,62.7,69.8,55.4,3,Yes,Yes,No
STUD00112,Female,11,SS1,87.1,70.8,61.1,43.8,69.4,61.5,45.2,3,Yes,Yes,No
STUD00113,Male,12,JSS2,100.0,66.6,37.1,48.1,69.6,37.8,52.9,12,Yes,Yes,No
STUD00114,Male,19,SS2,91.6,78.6,52.2,61.8,79.0,51.9,61.1,22,Yes,Yes,No
STUD00115,Female,18,JSS2,91.0,44.3,54.4,68.5,38.6,55.8,64.8,17,No,No,No
STUD00116,Male,19,JSS1,76.6,57.7,84.9,58.1,61.6,91.1,61.8,1,Yes,Yes,No
STUD00117,Female,14,JSS3,96.6,88.4,40.4,84.5,91.2,40.8,88.5,21,Yes,Yes,No
STUD00118,Male,16,SS1,100.0,69.9,68.2,49.6,63.8,69.5,45.3,4,No,Yes,No
STUD00119,Female,10,JSS3,98.9,40.9,54.4,50.9,34.7,57.0,57.7,7,No,Yes,No
STUD00120,Male,19,JSS3,94.9,28.9,60.4,57.3,35.5,59.8,66.3,3,No,Yes,No
STUD00121,Male,18,JSS2,83.7,40.8,82.8,57.5,44.4,77.3,62.9,4,No,Yes,No
STUD00122,Male,18,SS3,81.2,94.8,61.1,56.0,92.8,62.7,56.7,5,Yes,Yes,No
STUD00123,Female,10,JSS2,71.1,28.8,56.5,56.5,34.9,49.9,55.5,17,Yes,No,No
STUD00124,Male,15,SS1,83.8,54.5,59.7,65.4,52.2,53.9,62.4,19,No,Yes,No
STUD00125,Male,11,JSS3,72.6,77.9,61.3,69.9,77.7,62.4,57.6,21,No,Yes,No
STUD00126,Male,18,SS3,81.4,47.5,67.4,28.3,52.4,67.1,31.6,13,No,Yes,No
STUD00127,Male,15,SS2,85.6,48.0,31.5,58.2,54.5,38.1,58.6,17,Yes,Yes,No
STUD00128,Male,16,JSS3,67.2,51.6,63.1,81.5,47.4,67.7,74.8,7,No,Yes,No
STUD00129,Female,13,SS1,54.4,65.2,51.0,34.3,72.0,56.9,31.6,21,No,Yes,Yes
STUD00130,Female,20,SS2,94.1,51.8,40.2,57.7,49.8,39.3,54.8,2,Yes,Yes,No
STUD00131,Male,13,SS2,70.7,63.2,36.4,44.8,57.4,47.9,49.2,20,No,Yes,No
STUD00132,Female,10,JSS1,57.7,53.1,59.5,65.2,55.0,58.8,62.6,22,No,No,Yes
STUD00133,Female,10,JSS1,85.4,49.0,60.6,54.9,46.7,50.5,56.8,23,Yes,Yes,No
STUD00134,Female,14,JSS2,87.2,61.4,57.4,60.2,61.5,51.4,71.2,21,No,Yes,No
STUD00135,Female,10,JSS1,82.5,56.1,66.5,63.6,56.2,68.0,63.9,1,Yes,Yes,No
STUD00136,Male,11,JSS3,72.2,46.6,61.4,38.7,45.6,72.0,40.5,19,Yes,Yes,No
STUD00137,Female,12,SS3,70.5,73.3,78.3,65.8,75.0,67.7,64.0,22,No,Yes,No
STUD00138,Female,15,JSS3,100.0,53.8,54.0,48.5,62.4,52.4,47.2,17,Yes,Yes,No
STUD00139,Female,15,JSS3,94.6,66.5,68.4,51.7,70.8,63.4,57.7,15,No,Yes,No
STUD00140,Male,10,SS1,82.2,50.6,54.8,78.7,54.9,51.9,76.7,6,Yes,Yes,No
STUD00141,Female,18,SS1,99.4,60.8,68.3,72.8,59.2,64.5,69.6,5,No,No,No
STUD00142,Female,13,SS1,90.7,51.2,61.1,43.7,47.8,65.5,49.6,16,Yes,Yes,No
STUD00143,Female,12,SS2,100.0,98.4,82.0,66.6,88.1,76.9,62.7,16,Yes,Yes,No
STUD00144,Female,19,SS3,78.4,63.8,29.6,56.8,66.3,27.7,59.7,0,Yes,Yes,No
STUD00145,Male,20,JSS3,74.1,76.1,38.2,59.0,73.8,44.9,54.8,15,Yes,Yes,No
STUD00146,Female,11,JSS3,95.5,53.9,34.3,67.5,50.1,33.5,68.4,4,Yes,Yes,No
STUD00147,Female,14,SS1,84.7,92.9,50.6,56.1,84.6,53.6,61.1,19,No,No,No
STUD00148,Female,17,SS1,88.6,38.9,35.3,52.3,43.7,45.0,48.8,8,Yes,Yes,Yes
STUD00149,Female,11,JSS2,61.6,75.1,49.1,53.7,69.8,49.8,51.9,23,Yes,No,No
STUD00150,Female,19,SS1,100.0,72.4,65.7,57.3,66.1,65.7,60.8,4,Yes,Yes,No
STUD00151,Male,14,SS1,75.3,51.1,55.6,54.2,53.3,52.4,49.2,1,Yes,Yes,No
STUD00152,Male,15,JSS1,100.0,46.0,30.4,65.2,45.6,45.0,60.7,1,No,Yes,No
